# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	5413
143	5413
144	5413
145	5413
146	5413
147	5413
148	5413
149	5413
150	5896
151	5896
152	5466
153	5413
154	5413
155	5413
156	5413
157	5413
158	5413
159	5413
160	5944
161	5944
162	5466
163	5466
164	5466
165	5466
166	5466
167	5466
168	5413
169	5413
170	5413
171	5413
172	5896
173	6002
174	6002
175	5896
176	5896
177	5413
178	5466
179	5466
180	5949
181	5949
182	5944
183	6538
184	6538
185	5944
186	5413
187	5466
188	5949
189	5949
190	5466
191	5466
192	5944
193	6049
194	6049
195	5944
196	5949
197	5466
198	5413
199	5413
200	5466
201	5466
202	5944
203	6049
204	6049
205	5944
206	5466
207	5466
208	5466
209	5466
210	5949
211	5949
212	5944
213	6049
214	6049
215	5992
216	5466
217	5949
218	5518
219	5518
220	5949
221	5949
222	5944
223	6096
224	6096
225	5992
226	5466
227	5997
228	6002
229	6002
230	5466
231	5466
232	5992
233	6096
234	6096
235	5992
236	5466
237	5997
238	6002
239	6002
240	5949
241	5949
242	6480
243	6096
244	6096
245	5992
246	5466
247	6485
248	5518
249	5518
250	5466
251	5466
252	5992
253	6143
254	6143
255	5992
256	5466
257	5997
258	5518
259	5518
260	5518
261	5518
262	5992
263	6143
264	6143
265	6039
266	5466
267	5997
268	6002
269	6002
270	5518
271	5518
272	5992
273	6143
274	6143
275	6039
276	5466
277	6044
278	6049
279	6049
280	6002
281	6002
282	5992
283	6143
284	6143
285	6039
286	5466
287	6044
288	6049
289	6049
290	5518
291	5518
292	5992
293	6143
294	6143
295	6039
296	5518
297	6044
298	6049
299	6049
300	5518
301	5518
302	5992
303	6143
304	6143
305	6039
306	5518
307	6044
308	6049
309	6049
310	5518
311	5518
312	5992
313	6143
314	6143
315	6039
316	5518
317	6044
318	6049
319	6049
320	5518
321	5518
322	6039
323	6143
324	6143
325	6086
326	5518
327	6044
328	6049
329	6049
330	5518
331	5518
332	6039
333	6143
334	6143
335	6086
336	5518
337	6091
338	6096
339	6096
340	5518
341	5518
342	6039
343	6143
344	6143
345	6086
346	5518
347	6580
348	6096
349	6096
350	5518
351	5518
352	6039
353	6143
354	6143
355	6086
356	5518
357	6091
358	6096
359	6096
360	5570
361	5570
362	6039
363	6143
364	6143
365	6133
366	5518
367	6091
368	6096
369	6096
370	5570
371	5570
372	6039
373	6143
374	6143
375	6133
376	5518
377	6091
378	6096
379	6096
380	6054
381	6054
382	6086
383	6143
384	6143
385	6133
386	5518
387	6138
388	6143
389	6143
390	5570
391	5570
392	6086
393	6143
394	6143
395	6133
396	5570
397	6138
398	6143
399	6143
400	5570
401	5570
402	6086
403	6143
404	6143
405	6133
406	5621
407	6138
408	6143
409	6143
410	5621
411	5621
412	6086
413	6143
414	6143
415	6133
416	5621
417	6138
418	6143
419	6143
420	5621
421	5621
422	6086
423	6189
424	6189
425	6133
426	5621
427	5413
428	6143
429	6143
430	5621
431	5621
432	6086
433	6189
434	6189
435	6133
436	5621
437	5466
438	6143
439	6143
440	5621
441	5621
442	6086
443	6189
444	6189
445	6133
446	5621
447	5466
448	6143
449	6143
450	5621
451	5621
452	6086
