# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	5896
140	5896
141	5896
142	5896
143	5896
144	5896
145	5896
146	6968
147	6968
148	5896
149	5896
150	5896
151	5896
152	5896
153	5896
154	5896
155	5896
156	5896
157	5896
158	5896
159	5896
160	5896
161	5896
162	5896
163	5896
164	5896
165	5896
166	5896
167	5896
168	5896
169	5896
170	5896
171	5896
172	8040
173	8040
174	6968
175	6968
176	6968
177	6968
178	6968
179	6968
180	6968
181	6968
182	6968
183	6968
184	6968
185	6968
186	6968
187	6968
188	6968
189	6968
190	6968
191	6968
192	6968
193	6968
194	6968
195	6968
196	6968
197	6968
198	8040
199	8040
200	6968
201	6968
202	6968
203	6968
204	6968
205	6968
206	6968
207	8040
208	8040
209	8040
210	8040
211	8040
212	6968
213	6968
214	6968
215	6968
216	8040
217	8040
218	8040
219	9112
220	9112
221	6968
222	6968
223	6968
224	6968
225	6968
226	6968
227	6968
228	6968
229	6968
230	6968
231	8040
232	8040
233	9112
234	9112
235	9112
236	9112
237	9112
238	9112
239	9112
240	5896
241	5896
242	5896
243	5896
244	5896
245	5896
246	5896
247	5896
248	5896
249	5896
250	5896
251	5896
252	5896
253	5896
254	5896
255	5896
256	5896
257	9112
258	9112
259	10184
260	10184
261	10184
262	10184
263	10184
264	8040
265	8040
266	8040
267	8040
268	10184
269	10184
270	10184
271	10184
272	10184
273	9112
274	9112
275	8040
276	8040
277	8040
278	8040
279	8040
280	10184
281	10184
282	10184
283	10184
284	10184
285	10184
286	10184
287	10184
288	10184
289	10184
290	10184
291	10184
292	10184
293	10184
294	10184
295	10184
296	10184
297	9112
298	9112
299	9112
300	9112
301	9112
302	9112
303	9112
304	9112
305	9112
306	9112
307	9112
308	9112
309	9112
310	9112
311	9112
312	9112
313	6968
314	6968
315	6968
316	10184
317	10184
318	10184
319	10184
320	10184
321	10184
322	10184
323	10184
324	10184
325	10184
326	10184
327	10184
328	10184
329	10184
330	10184
331	10184
332	8040
333	8040
334	8040
335	8040
336	8040
337	8040
338	9112
339	9112
340	9112
341	9112
342	10184
343	10184
344	10184
345	10184
346	10184
347	10184
348	10184
349	10184
350	10184
351	10184
352	10184
353	11256
354	11256
355	11256
356	11256
357	11256
358	11256
359	11256
360	11256
361	11256
362	11256
363	11256
364	11256
365	11256
366	11256
367	11256
368	11256
369	11256
370	11256
371	11256
372	12328
373	12328
374	12328
375	12328
376	12328
377	13400
378	13400
379	11256
380	11256
381	11256
382	11256
383	11256
384	11256
385	11256
386	11256
387	11256
388	11256
389	11256
390	11256
391	11256
392	11256
393	11256
394	11256
395	11256
396	11256
397	11256
398	11256
399	11256
400	11256
401	11256
402	11256
403	11256
404	11256
405	11256
406	11256
407	11256
408	11256
409	11256
410	11256
411	11256
412	14472
413	14472
414	14472
415	14472
416	14472
417	15544
418	15544
419	15544
420	15544
421	15544
422	12328
423	12328
424	12328
425	12328
426	13400
427	13400
428	13400
429	13400
430	13400
431	12328
432	12328
433	12328
434	12328
435	12328
436	12328
437	12328
438	12328
439	12328
440	12328
441	12328
442	12328
443	13400
444	13400
445	13400
446	13400
447	13400
448	12328
449	12328
450	12328
451	12328
452	13400
