# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	5413
184	5413
185	5413
186	5413
187	5413
188	5413
189	5413
190	5413
191	5413
192	5413
193	5949
194	5466
195	5466
196	5896
197	5896
198	5413
199	5413
200	5413
201	5413
202	5413
203	5949
204	5466
205	5466
206	6432
207	5896
208	5949
209	5949
210	5466
211	5466
212	5466
213	5949
214	5949
215	5949
216	6432
217	5944
218	5949
219	5413
220	5466
221	5466
222	5466
223	5949
224	5949
225	5949
226	6432
227	6432
228	5949
229	5466
230	6002
231	5413
232	5413
233	5466
234	5949
235	5949
236	5413
237	5944
238	5413
239	5949
240	6002
241	5949
242	5949
243	5949
244	5949
245	5949
246	5949
247	6432
248	5949
249	5949
250	5518
251	5949
252	5949
253	5949
254	5949
255	5949
256	5949
257	5944
258	5949
259	5949
260	6054
261	5949
262	5896
263	5949
264	5949
265	5949
266	5896
267	6432
268	5949
269	5949
270	6054
271	5949
272	6432
273	5949
274	5949
275	5949
276	6432
277	6432
278	5949
279	5949
280	6054
281	5949
282	6432
283	5949
284	5949
285	5949
286	6968
287	6432
288	5949
289	5949
290	6054
291	6485
292	6432
293	5949
294	5949
295	5949
296	6968
297	6432
298	5949
299	5949
300	6590
301	6485
302	6432
303	5949
304	5949
305	5949
306	6968
307	6432
308	5949
309	5949
310	6101
311	6485
312	6432
313	5949
314	5949
315	5949
316	6968
317	6432
318	5949
319	6485
320	6590
321	6485
322	6432
323	6485
324	5949
325	5949
326	6968
327	6432
328	5949
329	6485
330	6590
331	6485
332	6968
333	6485
334	5949
335	5949
336	6968
337	6432
338	5949
339	6485
340	6590
341	7021
342	6968
343	6485
344	5949
345	5949
346	6968
347	6432
348	5949
349	6485
350	6590
351	7021
352	6968
353	6485
354	5949
355	5949
356	7504
357	6968
358	5949
359	6485
360	6590
361	7021
362	6968
363	6485
364	5949
365	5949
366	7504
367	6968
368	5949
369	6485
370	6590
371	7021
372	6968
373	7021
374	5949
375	5949
376	7504
377	6968
378	5949
379	6485
380	6590
381	7021
382	6968
383	7021
384	5949
385	5949
386	7504
387	6968
388	5949
389	6485
390	6590
391	7021
392	6968
393	7021
394	5949
395	5949
396	7504
397	6968
398	5949
399	7021
400	6590
401	7021
402	6968
403	7021
404	5949
405	5949
406	7504
407	6968
408	5949
409	7021
410	6590
411	7021
412	6968
413	7021
414	5949
415	5949
416	7504
417	6968
418	5949
419	7021
420	6590
421	7021
422	6968
423	7021
424	6485
425	6485
426	7504
427	6968
428	5949
429	6529
430	6590
431	7021
432	6968
433	7021
434	6485
435	6485
436	7504
437	6968
438	5949
439	7021
440	6590
441	7021
442	6968
443	7021
444	6485
445	6485
446	7504
447	6968
448	6485
449	7021
450	6590
451	7021
452	6968
453	7021
454	6485
455	6485
456	7504
457	6968
458	6485
459	7021
460	6590
461	7021
