# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	5896
146	5896
147	5896
148	6968
149	6968
150	6968
151	6968
152	6968
153	6968
154	6968
155	6968
156	6968
157	6968
158	6968
159	6968
160	6968
161	6968
162	6968
163	6968
164	6968
165	6968
166	6968
167	6968
168	6968
169	6968
170	6968
171	6968
172	6968
173	6968
174	6968
175	6968
176	6968
177	5896
178	5896
179	5896
180	5896
181	5896
182	5896
183	5896
184	5896
185	5896
186	5896
187	5896
188	5896
189	5896
190	5896
191	9112
192	9112
193	5896
194	5896
195	5896
196	6968
197	6968
198	6968
199	6968
200	6968
201	6968
202	6968
203	6968
204	6968
205	6968
206	6968
207	6968
208	6968
209	6968
210	6968
211	6968
212	6968
213	6968
214	6968
215	6968
216	6968
217	10184
218	10184
219	6968
220	6968
221	6968
222	8040
223	8040
224	8040
225	8040
226	8040
227	8040
228	8040
229	6968
230	6968
231	8040
232	8040
233	8040
234	8040
235	8040
236	5896
237	5896
238	5896
239	5896
240	5896
241	5896
242	5896
243	5896
244	5896
245	5896
246	5896
247	5896
248	5896
249	5896
250	6968
251	6968
252	9112
253	9112
254	9112
255	8040
256	8040
257	6968
258	6968
259	6968
260	6968
261	6968
262	6968
263	6968
264	8040
265	8040
266	8040
267	8040
268	8040
269	6968
270	6968
271	6968
272	8040
273	8040
274	8040
275	8040
276	8040
277	8040
278	9112
279	9112
280	9112
281	9112
282	9112
283	9112
284	9112
285	9112
286	6968
287	6968
288	6968
289	6968
290	8040
291	8040
292	8040
293	8040
294	8040
295	6968
296	6968
297	6968
298	6968
299	6968
300	9112
301	9112
302	9112
303	9112
304	9112
305	9112
306	9112
307	10184
308	10184
309	10184
310	10184
311	10184
312	10184
313	10184
314	10184
315	10184
316	10184
317	10184
318	10184
319	10184
320	10184
321	10184
322	10184
323	9112
324	9112
325	9112
326	9112
327	9112
328	9112
329	9112
330	6968
331	6968
332	6968
333	6968
334	6968
335	10184
336	10184
337	8040
338	8040
339	8040
340	8040
341	8040
342	9112
343	9112
344	9112
345	8040
346	8040
347	8040
348	8040
349	8040
350	8040
351	8040
352	8040
353	8040
354	9112
355	9112
356	10184
357	10184
358	10184
359	8040
360	8040
361	8040
362	8040
363	10184
364	10184
365	10184
366	8040
367	8040
368	10184
369	10184
370	10184
371	10184
372	10184
373	10184
374	10184
375	10184
376	10184
377	10184
378	9112
379	9112
380	9112
381	9112
382	9112
383	9112
384	9112
385	9112
386	9112
387	9112
388	9112
389	9112
390	9112
391	9112
392	11256
393	11256
394	11256
395	11256
396	11256
397	11256
398	11256
399	11256
400	11256
401	11256
402	11256
403	11256
404	11256
405	11256
406	11256
407	11256
408	11256
409	11256
410	11256
411	5896
412	5896
413	5896
414	5896
415	5896
416	6968
417	6968
418	5896
419	5896
420	5896
421	5896
422	5896
423	6968
424	6968
425	5896
426	5896
427	5896
428	5896
429	5896
430	6968
431	6968
432	6968
433	5896
434	5896
435	5896
436	5896
437	6968
438	6968
439	6968
440	5896
441	5896
442	5896
443	5896
444	5896
445	6968
446	6968
447	5896
448	5896
449	5896
450	5896
451	5896
452	6968
453	6968
