# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	5896
140	5896
141	5896
142	5896
143	5896
144	5896
145	5896
146	5896
147	5896
148	5896
149	6432
150	6432
151	6432
152	6432
153	5896
154	5896
155	5896
156	5896
157	5896
158	5944
159	6432
160	6432
161	6432
162	5896
163	6432
164	6432
165	5896
166	5896
167	6432
168	5944
169	5413
170	5413
171	5944
172	5944
173	6432
174	6432
175	5944
176	5944
177	6476
178	5944
179	5949
180	5949
181	6480
182	5944
183	5944
184	5944
185	5992
186	5992
187	6476
188	5944
189	5466
190	5466
191	5992
192	5944
193	5944
194	5944
195	5992
196	5992
197	6476
198	5944
199	5466
200	5466
201	5992
202	5992
203	5944
204	5944
205	5992
206	5992
207	6520
208	5944
209	5518
210	5518
211	5992
212	5992
213	5944
214	5944
215	6039
216	6039
217	6520
218	5992
219	6002
220	6002
221	6039
222	5992
223	5992
224	5992
225	6039
226	6039
227	6520
228	6480
229	6002
230	6002
231	6039
232	5992
233	6480
234	6480
235	6039
236	6039
237	7056
238	5992
239	5518
240	5413
241	6039
242	5992
243	5992
244	5992
245	6086
246	6086
247	6564
248	5992
249	5518
250	5466
251	6039
252	5992
253	6480
254	6480
255	6086
256	6086
257	6564
258	5992
259	5518
260	5949
261	6086
262	5992
263	5992
264	5992
265	6086
266	6086
267	6607
268	5992
269	5570
270	5466
271	6086
272	6039
273	5992
274	5992
275	6622
276	6622
277	6607
278	6039
279	5570
280	5466
281	6086
282	6039
283	6039
284	6039
285	6133
286	6133
287	6607
288	6039
289	5570
290	5466
291	6086
292	6039
293	6039
294	6039
295	6133
296	6133
297	6607
298	6528
299	5570
300	5466
301	6086
302	6575
303	6086
304	6086
305	6133
306	6133
307	6607
308	6572
309	5621
310	5466
311	6086
312	6086
313	6086
314	6086
315	6133
316	6133
317	7100
318	6615
319	5621
320	5518
321	6086
322	6086
323	6086
324	6086
325	6133
326	6133
327	6607
328	6615
329	5672
330	5518
331	6086
332	6133
333	6133
334	6133
335	6133
336	6133
337	7100
338	6615
339	5672
340	5570
341	6575
342	6133
343	6133
344	6133
345	6622
346	6622
347	6607
348	6615
349	5672
350	5621
351	6086
352	6133
353	6133
354	6133
355	6133
356	6133
357	6607
358	6615
359	5672
360	5621
361	6133
362	6133
363	6133
364	6133
365	6133
366	6133
367	6607
368	6615
369	5672
370	5621
371	6133
372	6133
373	6133
374	6133
375	6133
376	6133
377	6607
378	6658
379	5672
380	6106
381	6179
382	6133
383	6179
384	6179
385	6133
386	6133
387	6607
388	6658
389	5672
390	5621
391	6179
392	6133
393	6179
394	6179
395	6133
396	6133
397	6650
398	6658
399	5672
400	5621
401	6179
402	6179
403	6179
404	6179
405	6179
406	6179
407	6650
408	6658
409	5672
410	5621
411	6225
412	6179
413	6179
414	6179
415	6179
416	6179
417	6693
418	6658
419	5672
420	5621
421	6715
422	6179
423	6179
424	6179
425	6225
426	6225
427	7229
428	6658
429	5722
430	5621
431	6225
432	6179
433	6179
434	6179
435	6225
436	6225
437	6735
438	6658
439	5722
440	5621
441	6225
442	6225
443	6179
444	6179
445	6225
446	6225
447	6735
448	6658
449	5722
450	5621
451	6225
452	6225
