# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	5896
184	5896
185	6968
186	6968
187	6968
188	6968
189	6968
190	6968
191	6968
192	6968
193	6968
194	6968
195	5896
196	5896
197	5896
198	5896
199	5896
200	5896
201	5896
202	5896
203	5896
204	5896
205	6968
206	6968
207	5896
208	5896
209	5896
210	5896
211	5896
212	5896
213	5896
214	5896
215	5896
216	5896
217	5896
218	5896
219	5896
220	5896
221	5896
222	8040
223	8040
224	5896
225	5896
226	5896
227	5896
228	5896
229	5896
230	5896
231	5896
232	5896
233	5896
234	5896
235	5896
236	5896
237	5896
238	5896
239	5896
240	5896
241	5896
242	5896
243	5896
244	5896
245	5896
246	5896
247	5896
248	6968
249	6968
250	5896
251	5896
252	5896
253	5896
254	5896
255	6968
256	6968
257	6968
258	6968
259	9112
260	9112
261	9112
262	5896
263	5896
264	5896
265	5896
266	5896
267	5896
268	5896
269	5896
270	5896
271	5896
272	5896
273	5896
274	5896
275	5896
276	5896
277	5896
278	8040
279	8040
280	8040
281	8040
282	8040
283	6968
284	6968
285	6968
286	6968
287	6968
288	6968
289	6968
290	10184
291	10184
292	10184
293	10184
294	10184
295	8040
296	8040
297	8040
298	8040
299	8040
300	8040
301	8040
302	8040
303	8040
304	6968
305	6968
306	6968
307	6968
308	6968
309	6968
310	6968
311	6968
312	6968
313	6968
314	6968
315	6968
316	6968
317	6968
318	6968
319	6968
320	6968
321	6968
322	6968
323	6968
324	6968
325	6968
326	8040
327	8040
328	6968
329	6968
330	6968
331	6968
332	6968
333	5896
334	5896
335	8040
336	8040
337	8040
338	8040
339	8040
340	8040
341	8040
342	9112
343	9112
344	9112
345	9112
346	9112
347	9112
348	9112
349	8040
350	8040
351	8040
352	8040
353	8040
354	6968
355	6432
356	6432
357	6432
358	6432
359	6432
360	6432
361	10184
362	10184
363	10184
364	10184
365	10184
366	10184
367	10184
368	8040
369	8040
370	8040
371	8040
372	8040
373	6968
374	6968
375	6968
376	6968
377	6968
378	8040
379	8040
380	8040
381	8040
382	6968
383	6968
384	6968
385	6968
386	6968
387	6968
388	6968
389	6968
390	6968
391	6968
392	8040
393	8040
394	8040
395	8040
396	8040
397	8040
398	8040
399	8040
400	8040
401	8040
402	8040
403	8040
404	8040
405	8040
406	8040
407	8040
408	6968
409	6968
410	6968
411	6968
412	6968
413	8040
414	8040
415	8040
416	6968
417	6968
418	6968
419	6968
420	8040
421	8040
422	8040
423	8040
424	8040
425	7504
426	7504
427	7504
428	7504
429	7504
430	7504
431	7504
432	6968
433	6968
434	6968
435	6968
436	6968
437	6968
438	6968
439	6968
440	6968
441	8040
442	8040
443	8040
444	8040
445	8040
446	6968
447	6968
448	6968
449	6968
450	6968
451	6968
452	6968
453	6968
454	6968
455	6968
456	6968
457	6968
458	6968
459	6968
460	11256
461	11256
