# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	5413
150	5896
151	5896
152	5896
153	5896
154	5896
155	5896
156	5896
157	5413
158	5413
159	5466
160	5944
161	5944
162	5944
163	5944
164	5896
165	5896
166	5413
167	5949
168	5949
169	5466
170	5944
171	5413
172	5413
173	5413
174	6432
175	6432
176	5949
177	5466
178	5466
179	5949
180	5896
181	5466
182	5466
183	5466
184	6432
185	6432
186	5466
187	5466
188	5466
189	5997
190	6432
191	5466
192	5466
193	5466
194	6432
195	6432
196	5518
197	6002
198	6002
199	5896
200	5944
201	5949
202	5949
203	5949
204	6476
205	6476
206	5518
207	6002
208	6002
209	6432
210	5944
211	6485
212	6485
213	6485
214	6476
215	6476
216	5518
217	6002
218	6002
219	5944
220	5944
221	5997
222	5997
223	5997
224	6476
225	6476
226	6002
227	6049
228	6049
229	6432
230	5944
231	5997
232	5997
233	5997
234	6968
235	5413
236	6049
237	6049
238	6049
239	5944
240	5992
241	6044
242	6044
243	6044
244	6476
245	5466
246	6538
247	6049
248	6049
249	5992
250	6480
251	6044
252	6044
253	6044
254	6476
255	5466
256	6049
257	6096
258	6096
259	6480
260	5992
261	6533
262	6533
263	6533
264	7012
265	5466
266	6049
267	6096
268	6096
269	5992
270	5992
271	6576
272	6576
273	6576
274	7012
275	5466
276	6049
277	6096
278	6096
279	6039
280	5992
281	6576
282	6576
283	6576
284	6520
285	5466
286	6096
287	6096
288	6096
289	6528
290	6039
291	6576
292	6576
293	6576
294	6564
295	5466
296	6096
297	6143
298	6143
299	6572
300	6039
301	6576
302	6576
303	6576
304	7056
305	5466
306	6096
307	6143
308	6143
309	6572
310	6528
311	7069
312	7069
313	7069
314	6564
315	5518
316	6143
317	6143
318	6143
319	6615
320	6039
321	6576
322	6576
323	6576
324	6607
325	5518
326	6143
327	6143
328	6143
329	6615
330	6086
331	7069
332	7069
333	7069
334	6607
335	5570
336	6143
337	6143
338	6143
339	7108
340	6133
341	6576
342	6576
343	6576
344	7100
345	5621
346	6143
347	6143
348	6143
349	6615
350	6133
351	6576
352	6576
353	6576
354	6607
355	5672
356	6143
357	6143
358	6143
359	6615
360	6133
361	6576
362	6576
363	6576
364	6607
365	5672
366	6143
367	6143
368	6143
369	6615
370	6133
371	6576
372	6576
373	6576
374	6607
375	5672
376	6143
377	6143
378	6143
379	6615
380	6133
381	6576
382	6576
383	6576
384	6607
385	5672
386	6143
387	6143
388	6143
389	6615
390	6133
391	6576
392	6576
393	6576
394	6650
395	5672
396	6143
397	6189
398	6189
399	6615
400	6133
401	6619
402	6619
403	6619
404	6650
405	5672
406	6189
407	6189
408	6189
409	6615
410	6179
411	6619
412	6619
413	6619
414	6650
415	5672
416	6189
417	6189
418	6189
419	6615
420	6179
421	6662
422	6662
423	6662
424	6650
425	5672
426	6189
427	6189
428	6189
429	6615
430	6179
431	7155
432	7155
433	7155
434	6693
435	5672
436	6189
437	6189
438	6189
439	6658
440	6179
441	7195
442	7195
443	7195
444	6693
445	5672
446	6189
447	6235
448	6235
449	6658
450	6179
451	7195
452	7195
453	7195
454	6735
